time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
113,100,0.9998493333333334,1.13,21,5,0.17,,,
230,200,0.9996933333333333,1.17,24,9,0.2,,,
350,300,0.9995333333333334,1.2,24,14,0.25,,,
463,400,0.9993826666666668,1.13,23,19,0.15,,,
576,500,0.9992319999999999,1.13,23,24,0.13,,,
697,600,0.9990706666666667,1.21,24,29,0.24,,,
814,700,0.9989146666666666,1.17,23,34,0.2,,,
929,800,0.9987613333333334,1.15,23,38,0.16,,,
1051,900,0.9985986666666666,1.22,23,43,0.28,,,
1167,1000,0.9984440000000001,1.16,24,48,0.19,,,
1277,1100,0.9982973333333334,1.1,23,53,0.1,,,
1389,1200,0.998148,1.12,23,58,0.12,,,
1510,1300,0.9979866666666666,1.21,23,62,0.23,,,
1623,1400,0.997836,1.13,23,67,0.13,,,
1740,1500,0.9976799999999999,1.17,23,72,0.17,,,
1860,1600,0.99752,1.2,23,77,0.23,,,
1970,1700,0.9973733333333332,1.1,23,82,0.1,,,
2087,1800,0.9972173333333334,1.17,23,87,0.23,,,
2200,1900,0.9970666666666668,1.13,23,92,0.15,,,
2323,2000,0.9969026666666667,1.23,23,97,0.28,,,
2435,2100,0.9967533333333334,1.12,23,101,0.12,,,
2552,2200,0.9965973333333333,1.17,23,106,0.19,,,
2674,2300,0.9964346666666666,1.22,24,111,0.26,,,
2797,2400,0.9962706666666667,1.23,24,116,0.28,,,
2910,2500,0.9961199999999999,1.13,24,120,0.14,,,
3026,2600,0.9959653333333334,1.16,24,125,0.19,,,
3140,2700,0.9958133333333334,1.14,24,130,0.16,,,
3250,2800,0.9956666666666667,1.1,23,135,0.1,,,
3372,2900,0.995504,1.22,23,140,0.31,,,
3491,3000,0.9953453333333333,1.19,24,144,0.22,,,
3610,3100,0.9951866666666667,1.19,24,148,0.25,,,
3721,3200,0.9950386666666666,1.11,24,153,0.11,,,
3830,3300,0.9948933333333334,1.09,24,158,0.1,,,
3949,3400,0.9947346666666668,1.19,24,162,0.24,,,
4063,3500,0.9945826666666666,1.14,24,166,0.17,,,
4175,3600,0.9944333333333333,1.12,24,171,0.13,,,
4292,3700,0.9942773333333332,1.17,24,176,0.18,,,
4411,3800,0.9941186666666666,1.19,24,181,0.3,,,
